RSI(14)_value,RSI(14)_status,"STOCH(9,6)_value","STOCH(9,6)_status",STOCHRSI(14)_value,STOCHRSI(14)_status,"MACD(12,26)_value","MACD(12,26)_status",ATR(14)_value,ATR(14)_status,ADX(14)_value,ADX(14)_status,CCI(14)_value,CCI(14)_status,Highs/Lows(14)_value,Highs/Lows(14)_status,UO_value,UO_status,ROC_value,ROC_status,WilliamsR_value,WilliamsR_status,BullBear(13)_value,BullBear(13)_status,Summary_value,Summary_status,Fiyat,Degisim,Hisse,Tarih,MA5_state,MA5_value,MA10_state,MA10_value,MA20_state,MA20_value,MA50_state,MA50_value,MA100_state,MA100_value,MA200_state,MA200_value,Summary_state,Summary_value
44.780,Sell,32.020,Sell,58.402,Buy,-0.064,Sell,0.1079,High Volatility,33.078,Sell,-47.8633,Neutral,-0.0257,Sell,38.962,Sell,-4.444,Sell,-63.415,Sell,0.0140,Buy,Buy (2) ,Strong Sell,2150,-3.15,DENGE,2023-03-22,AL,2.130,SAT,2.192,SAT,2.214,SAT,2.349,SAT,2.657,SAT,2.394,SAT,Buy (1)
61.105,Buy,57.942,Buy,33.511,Sell,1.310,Buy,1.3536,High Volatility,31.030,Sell,63.9195,Buy,0.0800,Buy,48.057,Sell,22.230,Buy,-30.906,Buy,1.8320,Buy,Buy (8) ,Strong Buy,1756,-1.07,SOKE,2023-03-22,SAT,17.82,AL,17.44,AL,16.00,AL,13.75,AL,6.87,AL,3.44,AL,Buy (10)
36.318,Sell,26.219,Sell,0.631,Oversold,-0.800,Sell,0.7593,Less Volatility,33.915,Sell,-155.7597,Sell,-1.0257,Sell,25.489,Oversold,-5.480,Sell,-92.537,Oversold,-2.1360,Sell,Buy (0) ,Strong Sell,1678,+0.36,TTKOM,2023-03-22,SAT,17.29,SAT,17.99,SAT,17.94,SAT,19.89,SAT,18.91,AL,14.61,SAT,Buy (2)
35.982,Sell,22.071,Sell,3.827,Oversold,-4.042,Sell,4.5357,Less Volatility,52.763,Sell,-135.5406,Sell,-8.3786,Sell,25.868,Oversold,-12.465,Sell,-91.964,Oversold,-13.8620,Sell,Buy (0) ,Strong Sell,124600,+0.56,THYAO,2023-03-22,SAT,126.600,SAT,131.120,SAT,136.075,SAT,138.790,SAT,131.969,AL,98.632,SAT,Buy (2)
44.021,Sell,25.687,Sell,10.914,Oversold,-0.020,Sell,0.5471,Less Volatility,26.653,Sell,-120.5700,Sell,-0.6529,Sell,32.633,Sell,-9.660,Sell,-83.951,Oversold,-0.8220,Sell,Buy (0) ,Strong Sell,853,0.00,GSRAY,2023-03-22,SAT,8.70,SAT,9.16,SAT,9.23,SAT,8.73,AL,7.84,AL,6.39,SAT,Buy (4)
25.075,Sell,15.296,Oversold,21.599,Oversold,-4.940,Sell,2.4807,High Volatility,44.732,Sell,-103.3266,Sell,-7.4007,Sell,21.226,Oversold,-40.387,Sell,-90.111,Oversold,-10.7240,Sell,Buy (0) ,Strong Sell,2092,-2.06,PENTA,2023-03-22,SAT,21.33,SAT,26.30,SAT,31.47,SAT,37.32,SAT,48.45,SAT,47.50,SAT,Buy (0)
58.600,Buy,63.180,Buy,67.816,Buy,0.087,Buy,0.1821,High Volatility,33.251,Sell,53.6212,Buy,0.0707,Buy,38.908,Sell,27.692,Buy,-38.835,Buy,0.2400,Buy,Buy (9) ,Strong Buy,2460,-1.20,YYAPI,2023-03-22,SAT,2.554,SAT,2.498,AL,2.230,AL,2.317,AL,2.160,AL,1.634,AL,Buy (9)
47.919,Neutral,33.038,Sell,41.219,Sell,-0.027,Sell,0.1586,Less Volatility,23.747,Sell,-46.7984,Neutral,0.0000,Neutral,35.051,Sell,0.000,Neutral,-63.043,Sell,0.0280,Buy,Buy (1) ,Strong Sell,3650,+0.27,VAKFN,2023-03-22,AL,3.658,SAT,3.699,SAT,3.685,SAT,3.749,SAT,4.317,AL,3.596,SAT,Buy (2)
43.148,Sell,33.504,Sell,0.000,Oversold,0.210,Buy,0.5650,High Volatility,28.461,Sell,-143.1950,Sell,-1.0314,Sell,31.590,Sell,-3.846,Sell,-98.387,Oversold,-1.4040,Sell,Buy (1) ,Strong Sell,7250,-1.09,MNDRS,2023-03-22,SAT,7.924,SAT,8.422,SAT,8.019,AL,7.219,SAT,7.941,AL,6.473,SAT,Buy (3)
44.694,Sell,22.298,Sell,6.631,Oversold,-0.185,Sell,0.4650,Less Volatility,25.768,Sell,-123.3202,Sell,-0.2764,Sell,30.797,Sell,-7.881,Sell,-89.375,Oversold,-0.3620,Sell,Buy (0) ,Strong Sell,8630,+0.47,KARSN,2023-03-22,SAT,8.814,SAT,8.892,SAT,8.949,SAT,9.306,SAT,10.714,SAT,9.265,SAT,Buy (0)
